player_name,nationality,is_retired,backed_up_at
BB Chari,Zimbabwe,,2026-04-23T13:39:47Z
BB McCullum,New Zealand,,2026-04-23T13:39:47Z
BC Lara,West Indies,,2026-04-23T13:39:47Z
BE Hendricks,South Africa,,2026-04-23T13:39:47Z
BE McGain,Australia,,2026-04-23T13:39:47Z
BG Rogers,,,2026-04-23T13:39:47Z
Bilal Asif,Pakistan,,2026-04-23T13:39:47Z
Bilawal Bhatti,Pakistan,,2026-04-23T13:39:47Z
BJ Arnel,New Zealand,,2026-04-23T13:39:47Z
BJ Bennett,,,2026-04-23T13:39:47Z
BJ Bess,West Indies,,2026-04-23T13:39:47Z
BJ Clark,Australia,,2026-04-23T13:39:47Z
BJ Curran,,,2026-04-23T13:39:47Z
BJ Haddin,Australia,,2026-04-23T13:39:47Z
BJ Hodge,Australia,,2026-04-23T13:39:47Z
BJ McCarthy,Ireland,,2026-04-23T13:39:47Z
BJ Watling,New Zealand,,2026-04-23T13:39:47Z
BJ Webster,Australia,,2026-04-23T13:39:47Z
BKG Mendis,Sri Lanka,,2026-04-23T13:39:47Z
BL Mooney,Australia,,2026-04-23T13:39:47Z
BL Morgan,England,,2026-04-23T13:39:47Z
BM Duckett,England,,2026-04-23T13:39:47Z
BM Tickner,New Zealand,,2026-04-23T13:39:47Z
BOP Fernando,Sri Lanka,,2026-04-23T13:39:47Z
BP Martin,New Zealand,,2026-04-23T13:39:47Z
BP Nash,West Indies,,2026-04-23T13:39:47Z
BRM Taylor,Zimbabwe,,2026-04-23T13:39:47Z
BS Mudzinganyama,Zimbabwe,,2026-04-23T13:39:47Z
BT Foakes,England,,2026-04-23T13:39:47Z
BV Sears,Australia,,2026-04-23T13:39:47Z
BV Vitori,Zimbabwe,,2026-04-23T13:39:47Z
BW Hilfenhaus,Australia,,2026-04-23T13:39:47Z
C Bosch,South Africa,,2026-04-23T13:39:47Z
C Campher,Ireland,,2026-04-23T13:39:47Z
C Carmichael,,,2026-04-23T13:39:47Z
C Connolly,,,2026-04-23T13:39:47Z
C de Grandhomme,New Zealand,,2026-04-23T13:39:47Z
C Fortuin,South Africa,,2026-04-23T13:39:47Z
C Green,Australia,,2026-04-23T13:39:47Z
C Karunaratne,Sri Lanka,,2026-04-23T13:39:47Z
C Madande,Zimbabwe,,2026-04-23T13:39:47Z
C Munro,New Zealand,,2026-04-23T13:39:47Z
C Overton,England,,2026-04-23T13:39:47Z
C White,England,,2026-04-23T13:39:47Z
CA Pujara,India,,2026-04-23T13:39:47Z
CA Young,Ireland,,2026-04-23T13:39:47Z
CAK Rajitha,Sri Lanka,,2026-04-23T13:39:47Z
CAK Walton,West Indies,,2026-04-23T13:39:47Z
CB Mpofu,Zimbabwe,,2026-04-23T13:39:47Z
CB Wishart,Zimbabwe,,2026-04-23T13:39:47Z
CBRLS Kumara,Sri Lanka,,2026-04-23T13:39:47Z
CD Collymore,West Indies,,2026-04-23T13:39:47Z
CD Cumming,New Zealand,,2026-04-23T13:39:47Z
CD McMillan,New Zealand,,2026-04-23T13:39:47Z
CE Dean,England,,2026-04-23T13:39:47Z
CE Taylor,England,,2026-04-23T13:39:47Z
CFK van Wyk,New Zealand,,2026-04-23T13:39:47Z
CH Gayle,West Indies,,2026-04-23T13:39:47Z
CH Morris,South Africa,,2026-04-23T13:39:47Z
CJ Anderson,New Zealand,,2026-04-23T13:39:47Z
CJ Chibhabha,Zimbabwe,,2026-04-23T13:39:47Z
CJ Connor,England,,2026-04-23T13:39:47Z
CJ Ferguson,Australia,,2026-04-23T13:39:47Z
CJ Jordan,England,,2026-04-23T13:39:47Z
CJ McKay,Australia,,2026-04-23T13:39:47Z
CJ Sayers,Australia,,2026-04-23T13:39:47Z
CJL Rogers,Australia,,2026-04-23T13:39:47Z
CK Coventry,Zimbabwe,,2026-04-23T13:39:47Z
CK Holder,West Indies,,2026-04-23T13:39:47Z
CK Kapugedera,Sri Lanka,,2026-04-23T13:39:47Z
CK Langeveldt,South Africa,,2026-04-23T13:39:47Z
CK Tshuma,Zimbabwe,,2026-04-23T13:39:47Z
CKB Kulasekara,Sri Lanka,,2026-04-23T13:39:47Z
CL Cairns,New Zealand,,2026-04-23T13:39:47Z
CL Fitzpatrick,Australia,,2026-04-23T13:39:47Z
CL Tryon,South Africa,,2026-04-23T13:39:47Z
CL White,Australia,,2026-04-23T13:39:47Z
CM Edwards,England,,2026-04-23T13:39:47Z
CM Willoughby,South Africa,,2026-04-23T13:39:47Z
CMG Atkins,England,,2026-04-23T13:39:47Z
CMW Read,England,,2026-04-23T13:39:47Z
CN Evans,Wales,,2026-04-23T13:39:47Z
CO Browne,West Indies,,2026-04-23T13:39:47Z
Codi Yusuf,,,2026-04-23T13:39:47Z
CR Brathwaite,West Indies,,2026-04-23T13:39:47Z
CR Ervine,Zimbabwe,,2026-04-23T13:39:47Z
CR Woakes,England,,2026-04-23T13:39:47Z
CRD Fernando,Sri Lanka,,2026-04-23T13:39:47Z
CS Baugh,West Indies,,2026-04-23T13:39:47Z
CS Martin,New Zealand,,2026-04-23T13:39:47Z
CT Bancroft,Australia,,2026-04-23T13:39:47Z
CT Mumba,Zimbabwe,,2026-04-23T13:39:47Z
CT Mutombodzi,Zimbabwe,,2026-04-23T13:39:47Z
CT Tremlett,England,,2026-04-23T13:39:47Z
D Bishoo,West Indies,,2026-04-23T13:39:47Z
D Brevis,South Africa,,2026-04-23T13:39:47Z
D Brown,,,2026-04-23T13:39:47Z
D Dasgupta,India,,2026-04-23T13:39:47Z
D Elgar,South Africa,,2026-04-23T13:39:47Z
D Ganga,West Indies,,2026-04-23T13:39:47Z
D Gough,England,,2026-04-23T13:39:47Z
D Hazell,England,,2026-04-23T13:39:47Z
D Hemalatha,,,2026-04-23T13:39:47Z
D Madushanka,Sri Lanka,,2026-04-23T13:39:47Z
D Mohammed,,,2026-04-23T13:39:47Z
D Myers,Zimbabwe,,2026-04-23T13:39:47Z
D Olivier,South Africa,,2026-04-23T13:39:47Z
D Padikkal,India,,2026-04-23T13:39:47Z
D Paterson,South Africa,,2026-04-23T13:39:47Z
D Pretorius,South Africa,,2026-04-23T13:39:47Z
D Ramdin,West Indies,,2026-04-23T13:39:47Z
D Tucker,,,2026-04-23T13:39:47Z
DA Warner,Australia,,2026-04-23T13:39:47Z
DAJ Bracewell,New Zealand,,2026-04-23T13:39:47Z
Danish Kaneria,Pakistan,,2026-04-23T13:39:47Z
DAS Gunaratne,Sri Lanka,,2026-04-23T13:39:47Z
DB Sharma,,,2026-04-23T13:39:47Z
DBL Powell,,,2026-04-23T13:39:47Z
DC Thomas,West Indies,,2026-04-23T13:39:47Z
DD Ebrahim,Zimbabwe,,2026-04-23T13:39:47Z
DE Bernard,West Indies,,2026-04-23T13:39:47Z
DE Bollinger,Australia,,2026-04-23T13:39:47Z
Dewald Pretorius,South Africa,,2026-04-23T13:39:47Z
DG Bedingham,South Africa,,2026-04-23T13:39:47Z
DG Brownlie,New Zealand,,2026-04-23T13:39:47Z
Dhruv Jurel,India,,2026-04-23T13:39:47Z
DJ Bravo,West Indies,,2026-04-23T13:39:47Z
DJ Malan,England,,2026-04-23T13:39:47Z
DJ Mitchell,New Zealand,,2026-04-23T13:39:47Z
DJ Pattinson,England,,2026-04-23T13:39:47Z
DJ Terbrugge,,,2026-04-23T13:39:47Z
DJ Vilas,South Africa,,2026-04-23T13:39:47Z
DJG Sammy,West Indies,,2026-04-23T13:39:47Z
DL Piedt,South Africa,,2026-04-23T13:39:47Z
DL Vettori,New Zealand,,2026-04-23T13:39:47Z
DM Bess,England,,2026-04-23T13:39:47Z
DM Bravo,West Indies,,2026-04-23T13:39:47Z
DM de Silva,Sri Lanka,,2026-04-23T13:39:47Z
DM Richards,West Indies,,2026-04-23T13:39:47Z
DM Washington,,,2026-04-23T13:39:47Z
DN Wellalage,Sri Lanka,,2026-04-23T13:39:47Z
DN Wyatt,England,,2026-04-23T13:39:47Z
DP Conway,New Zealand,,2026-04-23T13:39:47Z
DP Sibley,England,,2026-04-23T13:39:47Z
DPMD Jayawardene,Sri Lanka,,2026-04-23T13:39:47Z
DR Flynn,New Zealand,,2026-04-23T13:39:47Z
DR Martyn,Australia,,2026-04-23T13:39:47Z
DR Smith,West Indies,,2026-04-23T13:39:47Z
DR Tuffey,New Zealand,,2026-04-23T13:39:47Z
DS Lehmann,Australia,,2026-04-23T13:39:47Z
DS Smith,West Indies,,2026-04-23T13:39:47Z
DT Tiripano,Zimbabwe,,2026-04-23T13:39:47Z
DW Lawrence,England,,2026-04-23T13:39:47Z
DW Steyn,South Africa,,2026-04-23T13:39:47Z
E Bisht,India,,2026-04-23T13:39:47Z
E Chigumbura,Zimbabwe,,2026-04-23T13:39:47Z
E Liddell,,,2026-04-23T13:39:47Z
EA Osborne,Australia,,2026-04-23T13:39:47Z
EA Perry,Australia,,2026-04-23T13:39:47Z
Ebadat Hossain,Bangladesh,,2026-04-23T13:39:47Z
EC Joyce,Ireland,,2026-04-23T13:39:47Z
Ehsan Adil,Pakistan,,2026-04-23T13:39:47Z
EJ Villani,Australia,,2026-04-23T13:39:47Z
EJG Morgan,Ireland,,2026-04-23T13:39:47Z
EJM Cowan,Australia,,2026-04-23T13:39:47Z
EL Lamb,England,,2026-04-23T13:39:47Z
Elias Sunny,Bangladesh,,2026-04-23T13:39:47Z
EM Moore,,,2026-04-23T13:39:47Z
EM Sampson,,,2026-04-23T13:39:47Z
Enamul Haque jnr,Bangladesh,,2026-04-23T13:39:47Z
ET Smith,England,,2026-04-23T13:39:47Z
F de Wet,South Africa,,2026-04-23T13:39:47Z
F du Plessis,South Africa,,2026-04-23T13:39:47Z
F Hand,Ireland,,2026-04-23T13:39:47Z
F Mutizwa,Zimbabwe,,2026-04-23T13:39:47Z
Faheem Ashraf,Pakistan,,2026-04-23T13:39:47Z
Faisal Iqbal,Pakistan,,2026-04-23T13:39:47Z
Fakhar Zaman,Pakistan,,2026-04-23T13:39:47Z
Farhan Adil,,,2026-04-23T13:39:47Z
Fawad Alam,Pakistan,,2026-04-23T13:39:47Z
Fazl-e-Akbar,,,2026-04-23T13:39:47Z
FC Wilson,,,2026-04-23T13:39:47Z
FDM Karunaratne,Sri Lanka,,2026-04-23T13:39:47Z
FH Edwards,West Indies,,2026-04-23T13:39:47Z
FL Reifer,West Indies,,2026-04-23T13:39:47Z
G Coetzee,South Africa,,2026-04-23T13:39:47Z
G Gambhir,India,,2026-04-23T13:39:47Z
G Hoey,,,2026-04-23T13:39:47Z
G Kirsten,South Africa,,2026-04-23T13:39:47Z
G Motie,West Indies,,2026-04-23T13:39:47Z
G Onions,England,,2026-04-23T13:39:47Z
G Voll,Australia,,2026-04-23T13:39:47Z
G Wareham,Australia,,2026-04-23T13:39:47Z
GA Elwiss,England,,2026-04-23T13:39:47Z
GA Lamb,Zimbabwe,,2026-04-23T13:39:47Z
GA Manou,Australia,,2026-04-23T13:39:47Z
GA Stuurman,South Africa,,2026-04-23T13:39:47Z
GB Hogg,Australia,,2026-04-23T13:39:47Z
GC Smith,South Africa,,2026-04-23T13:39:47Z
